ID,CLOTHES NAME,Category,Style ,Style Jean,Temp,Season,Colors,Brand
1,BLUE BAGGY DISTRESS JEAN,Bottom,"Swaggy, Casual",Baggy,""""""" -20° """""", """""" +20° """"""","Others, Summer",,Mnml
2,2PAC WHITE TEE,Top,"Swaggy, Joggy, Casual",,""""""" +20° """"""","Others, Summer",white,Snores
3,AAPER PARIS WHITE TEE,Top,"Swaggy, Joggy, Casual",,""""""" +20° """"""","Others, Summer",white,Aape
4,ASOS BREKHAUS TEE,Top,"Swaggy, Joggy, Casual",,""""""" +20° """"""","Others, Summer","blue, black",Asos
5,BEIGE PANT ,Bottom,"Classy, Casual",Baggy,""""""" -20° """""", """""" +20° """"""","Others, Summer",beige,Asos
6,BLACK AIRISM TEE ,Top,"Swaggy, Joggy, Casual",,""""""" +20° """"""","Others, Summer",black,Uniqlo
7,BLACK BAGGY JEAN,Bottom,"Swaggy, Casual",Baggy,""""""" -20° """""", """""" +20° """"""","Others, Summer",black,Weekday
8,BLACK BOXY TEE,Top,"Casual, Swaggy, Joggy",,""""""" +20° """"""","Others, Summer",black,Weekday
9,BLACK CARGO PANT,Bottom,"Swaggy, Casual",Baggy,""""""" -20° """""", """""" +20° """"""","Others, Summer",black,Brandit
10,BLACK COL ROULÉ,Layer,"Classy, Casual",,""""""" -20° """"""",Others,black,Bershka
11,BLACK FIT TEE COS,Top,"Swaggy, Joggy, Casual",,""""""" +20° """"""","Others, Summer",black,Cos
12,BLACK FLARE JEAN ,Bottom,"Swaggy, Casual",Flare,""""""" -20° """""", """""" +20° """"""","Summer, Others",black,Mnml
13,BLACK FLARE JOGGER,Bottom,Joggy,Flare,""""""" -20° """""", """""" +20° """"""","Summer, Others",black,Mnml
14,BLACK LOAFER,Shoes,"Swaggy, Casual",,""""""" -20° """""", """""" +20° """""", """"""+25°""","Others, Summer",black,Asos
15,BLACK SHORT ,Bottom,"Swaggy, Casual",,"""""""+25°""",Summer,black,Bershka
16,BLACK DISTRESS SWEATER,Layer,"Swaggy, Casual",,""""""" -20° """"""",Others,black,Asos
17,BLACK SWEAT ,Layer,"Casual, Swaggy, Joggy, Classy",,""""""" -20° """"""",Others,black,Asos
18,BLACK SWEATER,Layer,"Casual, Classy",,""""""" -20° """"""",Others,black,Primark
19,BLACK TANK TOP ,Top,"Casual, Joggy",,""""""" +20° """"""","Others, Summer",black,Cos
20,BLACK VANTA YEEZY,Shoes,"Swaggy, Joggy, Casual",,""""""" -20° """""", """""" +20° """""", """"""+25°""","Others, Summer",black,Adidas
21,BLACK WASHED FLARED JEAN,Bottom,"Swaggy, Casual",Flare,""""""" -20° """""", """""" +20° """"""","Summer, Others",black,Mnml
22,BLACK ZIP HOODIE,Layer,"Casual, Swaggy, Joggy",,""""""" -20° """"""",Others,black,Weekday
23,BLUE BAGGY JEAN,Bottom,"Swaggy, Casual",Baggy,""""""" -20° """"""","Others, Summer",,Mnml
24,BLUE DISTRESS COLOR FLARE JEAN,Bottom,Swaggy,Flare,""""""" -20° """""", """""" +20° """"""","Summer, Others",,Mnml
25,BLUE DISTRESS FLARE JEAN,Bottom,"Swaggy, Casual",Flare,""""""" -20° """""", """""" +20° """"""","Summer, Others",,Mnml
26,BLUE FLARE JEAN,Bottom,"Swaggy, Casual",Flare,""""""" -20° """""", """""" +20° """"""","Summer, Others",,Mnml
27,BLUE NAVY FLARE JOGGER,Bottom,Joggy,Flare,""""""" -20° """""", """""" +20° """"""","Summer, Others",blue navy,Mnml
28,BLUE NAVY SERGIO TACCHINI CARDIGAN,Layer,"Classy, Casual",,""""""" -20° """"""",Others,blue navy,Sergio Tacchini
